       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
        342 23 May 2023 10:52:03      1.000      1.009    13.1082  28.750573     0.1103 2.2824e+02    266.469     93.783      1.000    23.5782    17.5441    1487.08 0.0000e+00
        535 23 May 2023 10:52:52      2.000      2.018    11.8037  29.794921     0.8334 1.2426e+02    282.597     97.017      2.000    25.3804    19.1642    1484.69 0.0000e+00
        551 23 May 2023 10:52:56      3.000      3.027    11.2236  29.770269     1.2209 7.8150e+01    281.702     95.989      3.000    25.7549    19.5516    1483.10 0.0000e+00
        570 23 May 2023 10:53:00      4.000      4.037    10.7807  29.773004     2.8676 5.1419e+01    271.770     92.386      4.000    26.0691    19.8673    1481.90 0.0000e+00
        589 23 May 2023 10:53:05      5.000      5.046    10.6343  29.801989     2.8863 3.1931e+01    258.579     87.818      5.000    26.2011    19.9931    1481.55 0.0000e+00
        607 23 May 2023 10:53:09      6.000      6.055    10.5666  29.859412     4.6812 1.9960e+01    227.383     77.198      6.000    26.3051    20.0847    1481.44 0.0000e+00
        624 23 May 2023 10:53:14      7.000      7.064    10.5383  29.895296     1.8175 1.2045e+01    225.201     76.502      7.000    26.3600    20.1319    1481.42 0.0000e+00
        640 23 May 2023 10:53:18      8.000      8.074    10.5481  29.952498     1.1122 8.1491e+00    220.895     74.983      8.000    26.4082    20.1678    1481.53 0.0000e+00
        656 23 May 2023 10:53:22      9.000      9.083    10.5183  29.958313     0.8934 5.5686e+00    231.000     78.329      9.000    26.4351    20.1934    1481.48 0.0000e+00
        672 23 May 2023 10:53:26     10.000     10.092    10.4469  29.975299     0.5903 3.9068e+00    245.543     83.365     10.000    26.5030    20.2575    1481.31 0.0000e+00
        688 23 May 2023 10:53:30     11.000     11.101    10.4675  30.058544     0.4388 2.8038e+00    253.645     86.023     11.000    26.5689    20.3054    1481.48 0.0000e+00
        704 23 May 2023 10:53:34     12.000     12.111    10.4376  30.047028     0.4024 2.0305e+00    254.449     86.397     12.000    26.5791    20.3181    1481.40 0.0000e+00
        720 23 May 2023 10:53:38     13.000     13.120    10.4427  30.127528     0.3944 1.4909e+00    256.319     87.284     13.000    26.6535    20.3751    1481.53 0.0000e+00
