       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
        297 15 Mar 2023 09:59:05      1.000      1.009     6.8561  22.440705     0.8777 8.5216e+01    298.312     90.123      1.000    21.3424    16.6971    1461.06 0.0000e+00
        404 15 Mar 2023 09:59:32      2.000      2.019     6.9254  22.775517     0.8093 3.8655e+01    310.414     94.026      2.000    21.6472    16.9292    1461.74 0.0000e+00
        418 15 Mar 2023 09:59:35      3.000      3.028     7.1616  24.094983     0.5965 2.3184e+01    306.264     93.959      3.000    22.8671    17.8608    1464.22 0.0000e+00
        434 15 Mar 2023 09:59:39      4.000      4.037     7.3375  25.000886     0.5922 1.3756e+01    300.615     93.238      4.000    23.6912    18.4874    1465.96 0.0000e+00
        449 15 Mar 2023 09:59:43      5.000      5.046     7.3970  25.442554     0.4910 8.5436e+00    297.844     92.776      5.000    24.1092    18.8083    1466.73 0.0000e+00
        465 15 Mar 2023 09:59:47      6.000      6.055     7.4155  25.520367     0.5081 5.3479e+00    297.525     92.794      6.000    24.1770    18.8592    1466.90 0.0000e+00
        480 15 Mar 2023 09:59:51      7.000      7.064     7.4236  25.542060     0.4973 3.3813e+00    297.398     92.785      7.000    24.1935    18.8713    1466.97 0.0000e+00
        495 15 Mar 2023 09:59:55      8.000      8.074     7.4538  25.839657     0.4808 2.1400e+00    296.810     92.766      8.000    24.4817    19.0936    1467.46 0.0000e+00
        511 15 Mar 2023 09:59:58      9.000      9.083     7.5530  26.790538     0.4456 1.4047e+00    294.789     92.897      9.000    25.4007    19.8022    1469.01 0.0000e+00
        527 15 Mar 2023 10:00:03     10.000     10.092     7.6061  27.160414     0.4233 9.5104e-01    294.056     93.061     10.000    25.7471    20.0673    1469.66 0.0000e+00
        544 15 Mar 2023 10:00:07     11.000     11.101     7.6158  27.286753     0.4226 6.4461e-01    293.647     93.033     11.000    25.8713    20.1634    1469.87 0.0000e+00
        560 15 Mar 2023 10:00:11     12.000     12.110     7.6274  27.432713     0.4096 4.3560e-01    293.452     93.077     12.000    26.0146    20.2743    1470.11 0.0000e+00
        575 15 Mar 2023 10:00:15     13.000     13.120     7.6394  27.559206     0.4124 3.0254e-01    293.385     93.161     13.000    26.1373    20.3690    1470.32 0.0000e+00
        591 15 Mar 2023 10:00:19     14.000     14.129     7.6631  27.759465     0.4028 2.1358e-01    293.036     93.196     14.000    26.3281    20.5156    1470.67 0.0000e+00
        606 15 Mar 2023 10:00:22     15.000     15.138     7.6898  28.001309     0.4167 1.6047e-01    292.188     93.148     15.000    26.5600    20.6941    1471.08 0.0000e+00
        621 15 Mar 2023 10:00:26     16.000     16.148     7.7093  28.327810     0.4010 1.2309e-01    291.626     93.164     16.000    26.8860    20.9472    1471.57 0.0000e+00
        636 15 Mar 2023 10:00:30     17.000     17.157     7.7447  28.749882     0.4117 8.7612e-02    290.347     93.106     17.000    27.2997    21.2669    1472.24 0.0000e+00
        650 15 Mar 2023 10:00:33     18.000     18.166     7.7594  28.926629     0.3935 5.9783e-02    289.734     93.056     18.000    27.4729    21.4008    1472.53 0.0000e+00
        665 15 Mar 2023 10:00:37     19.000     19.175     7.7879  29.226435     0.4022 5.5368e-02    289.133     93.091     19.000    27.7639    21.6253    1473.01 0.0000e+00
        680 15 Mar 2023 10:00:41     20.000     20.185     7.8170  29.518603     0.3875 5.3630e-02    288.522     93.135     20.000    28.0465    21.8430    1473.49 0.0000e+00
        695 15 Mar 2023 10:00:45     21.000     21.194     7.8280  29.641921     0.3974 5.3375e-02    288.105     93.098     21.000    28.1665    21.9356    1473.70 0.0000e+00
        711 15 Mar 2023 10:00:48     22.000     22.203     7.8646  29.964497     0.3908 5.3388e-02    287.779     93.250     22.000    28.4748    22.1724    1474.24 0.0000e+00
        726 15 Mar 2023 10:00:52     23.000     23.213     7.8906  30.082128     0.3791 5.3384e-02    287.251     93.221     23.000    28.5766    22.2488    1474.48 0.0000e+00
        740 15 Mar 2023 10:00:56     24.000     24.222     7.8998  30.159264     0.3774 5.3381e-02    286.056     92.887     24.000    28.6496    22.3048    1474.62 0.0000e+00
        755 15 Mar 2023 10:01:00     25.000     25.231     7.9165  30.265521     0.3772 5.3386e-02    284.810     92.584     25.000    28.7469    22.3788    1474.83 0.0000e+00
        770 15 Mar 2023 10:01:03     26.000     26.241     7.9358  30.428364     0.3782 5.3378e-02    284.656     92.653     26.000    28.9014    22.4974    1475.11 0.0000e+00
        786 15 Mar 2023 10:01:07     27.000     27.250     7.9545  30.564985     0.3712 5.3387e-02    284.665     92.788     27.000    29.0289    22.5948    1475.35 0.0000e+00
        801 15 Mar 2023 10:01:11     28.000     28.259     7.9564  30.615092     0.3854 5.3366e-02    284.405     92.739     28.000    29.0795    22.6341    1475.44 0.0000e+00
        816 15 Mar 2023 10:01:15     29.000     29.268     7.9642  30.684000     0.3683 5.3356e-02    284.986     92.986     29.000    29.1450    22.6844    1475.57 0.0000e+00
        830 15 Mar 2023 10:01:18     30.000     30.278     7.9756  30.800029     0.3745 5.3397e-02    284.758     92.993     30.000    29.2568    22.7705    1475.77 0.0000e+00
        845 15 Mar 2023 10:01:22     31.000     31.287     7.9863  30.930645     0.3617 5.3348e-02    285.158     93.228     31.000    29.3846    22.8692    1475.98 0.0000e+00
        859 15 Mar 2023 10:01:26     32.000     32.296     7.9927  30.994788     0.3692 5.3377e-02    284.321     93.014     32.000    29.4461    22.9166    1476.10 0.0000e+00
        874 15 Mar 2023 10:01:29     33.000     33.306     7.9974  31.071612     0.3657 5.3368e-02    284.137     93.005     33.000    29.5224    22.9758    1476.23 0.0000e+00
        889 15 Mar 2023 10:01:33     34.000     34.315     8.0025  31.130861     0.3600 5.3389e-02    283.812     92.949     34.000    29.5799    23.0202    1476.34 0.0000e+00
        905 15 Mar 2023 10:01:37     35.000     35.325     8.0036  31.139176     0.3598 5.3387e-02    283.356     92.809     35.000    29.5873    23.0258    1476.37 0.0000e+00
        920 15 Mar 2023 10:01:41     36.000     36.334     8.0044  31.150818     0.3593 5.3352e-02    283.832     92.974     36.000    29.5984    23.0343    1476.40 0.0000e+00
        935 15 Mar 2023 10:01:44     37.000     37.343     8.0051  31.158572     0.3636 5.3380e-02    283.128     92.749     37.000    29.6056    23.0399    1476.43 0.0000e+00
        949 15 Mar 2023 10:01:48     38.000     38.353     8.0056  31.166177     0.3589 5.3379e-02    282.987     92.708     38.000    29.6127    23.0454    1476.45 0.0000e+00
        964 15 Mar 2023 10:01:52     39.000     39.362     8.0067  31.184527     0.3611 5.3385e-02    284.329     93.160     39.000    29.6306    23.0593    1476.50 0.0000e+00
        978 15 Mar 2023 10:01:55     40.000     40.371     8.0086  31.208006     0.3561 5.3405e-02    284.167     93.125     40.000    29.6532    23.0767    1476.55 0.0000e+00
        993 15 Mar 2023 10:01:59     41.000     41.381     8.0095  31.216910     0.3501 5.3377e-02    283.711     92.983     41.000    29.6614    23.0830    1476.58 0.0000e+00
       1011 15 Mar 2023 10:02:03     42.000     42.390     8.0100  31.224873     0.3506 5.3391e-02    283.434     92.899     42.000    29.6689    23.0888    1476.61 0.0000e+00
       1043 15 Mar 2023 10:02:12     43.000     43.400     8.0105  31.231750     0.3486 5.3391e-02    283.119     92.800     43.000    29.6753    23.0938    1476.63 0.0000e+00
       1072 15 Mar 2023 10:02:19     44.000     44.409     8.0120  31.242996     0.3601 5.3403e-02    282.931     92.748     44.000    29.6854    23.1016    1476.67 0.0000e+00
       1095 15 Mar 2023 10:02:25     45.000     45.418     8.0121  31.244230     0.3709 5.3376e-02    282.797     92.705     45.000    29.6862    23.1021    1476.69 0.0000e+00
       1117 15 Mar 2023 10:02:30     46.000     46.428     8.0123  31.246268     0.3596 5.3390e-02    282.636     92.653     46.000    29.6877    23.1033    1476.70 0.0000e+00
