       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
        130 23 May 2023 12:27:47      1.000      1.009    11.1143  35.935697     0.3022 1.7328e+02    268.138     95.450      1.000    31.8157    24.2768    1489.95 0.0000e+00
        294 23 May 2023 12:28:28      2.000      2.018    11.1064  35.956000     0.8716 1.2981e+02    301.209    107.202      2.000    31.8419    24.2986    1489.97 0.0000e+00
        308 23 May 2023 12:28:32      3.000      3.028    11.0976  35.982777     0.9690 9.7175e+01    299.859    106.626      3.000    31.8755    24.3263    1490.00 0.0000e+00
        328 23 May 2023 12:28:37      4.000      4.037    10.9443  36.206318     0.9212 7.3453e+01    297.269    105.579      4.000    32.2299    24.6289    1489.90 0.0000e+00
        347 23 May 2023 12:28:42      5.000      5.046    10.7050  36.610465     1.0031 5.7709e+01    301.495    107.052      5.000    32.8433    25.1482    1489.81 0.0000e+00
        366 23 May 2023 12:28:46      6.000      6.055    10.6870  36.637832     1.2170 4.4828e+01    302.327    107.349      6.000    32.8865    25.1850    1489.82 0.0000e+00
        385 23 May 2023 12:28:51      7.000      7.064    10.6674  36.691308     1.2809 3.7082e+01    304.104    108.008      7.000    32.9572    25.2434    1489.85 0.0000e+00
        402 23 May 2023 12:28:55      8.000      8.074    10.6345  36.800701     1.3834 3.0111e+01    305.267    108.620      8.000    33.0959    25.3572    1489.92 0.0000e+00
        417 23 May 2023 12:28:59      9.000      9.083    10.6689  36.969282     1.4515 2.4549e+01    302.839    107.542      9.000    33.2328    25.4579    1490.22 0.0000e+00
        432 23 May 2023 12:29:03     10.000     10.092    10.5878  37.015410     1.3282 1.9751e+01    298.846    105.814     10.000    33.3527    25.5654    1490.09 0.0000e+00
        447 23 May 2023 12:29:06     11.000     11.101    10.4071  36.970519     1.0117 1.6526e+01    298.588    105.520     11.000    33.4729    25.6903    1489.61 0.0000e+00
        463 23 May 2023 12:29:10     12.000     12.111    10.2845  36.921142     0.8799 1.3900e+01    294.309    103.877     12.000    33.5358    25.7604    1489.27 0.0000e+00
        480 23 May 2023 12:29:15     13.000     13.120    10.2132  36.882568     0.6914 1.2071e+01    294.372    103.823     13.000    33.5622    25.7932    1489.06 0.0000e+00
        496 23 May 2023 12:29:19     14.000     14.129    10.1738  36.862600     0.5989 1.0436e+01    295.647    104.251     14.000    33.5781    25.8124    1488.96 0.0000e+00
        512 23 May 2023 12:29:23     15.000     15.138    10.1627  36.858552     0.6538 8.8914e+00    294.912    103.951     15.000    33.5839    25.8187    1488.94 0.0000e+00
        528 23 May 2023 12:29:27     16.000     16.148    10.1427  36.848143     0.6305 7.7039e+00    292.676    103.121     16.000    33.5914    25.8280    1488.90 0.0000e+00
        542 23 May 2023 12:29:30     17.000     17.157    10.1241  36.838483     0.5509 6.6292e+00    291.453    102.669     17.000    33.5984    25.8366    1488.85 0.0000e+00
        557 23 May 2023 12:29:34     18.000     18.166    10.1091  36.832685     0.5827 5.7545e+00    291.705    102.736     18.000    33.6060    25.8451    1488.83 0.0000e+00
        571 23 May 2023 12:29:38     19.000     19.176    10.1012  36.828306     0.5603 5.0070e+00    289.483    101.940     19.000    33.6084    25.8483    1488.82 0.0000e+00
        586 23 May 2023 12:29:41     20.000     20.184    10.0916  36.824479     0.5223 4.2844e+00    289.738    102.024     20.000    33.6130    25.8535    1488.80 0.0000e+00
        602 23 May 2023 12:29:45     21.000     21.194    10.0882  36.823466     0.5371 3.6666e+00    289.452    101.913     21.000    33.6147    25.8554    1488.81 0.0000e+00
